team_name,overall,avg_pts,scoring_defense,scoring_margin,ft_pct,fg_pct,fg_pct_def,3pt_fg_pct,rb_margin,blocked_shots,assists,turnover_margin
BYU,2,66.6,61.4,5.3,0.701,0.43,0.363,0.35,-1.6,4.3,15.7,0.79
Gonzaga,1,72.6,56.3,16.3,0.757,0.434,0.363,0.339,8.4,4.9,15.9,1.74
Loyola Marymount,8,63.8,67.2,-3.4,0.684,0.388,0.393,0.297,-2.3,4.4,15.8,0.16
Pacific,6,72.7,69.9,2.7,0.785,0.416,0.43,0.354,-1.6,2.9,14.5,1.68
Pepperdine,9,59.3,66.9,-7.7,0.726,0.349,0.367,0.323,-4.8,4.4,10.4,-2.53
Portland,10,57,71.8,-14.4,0.696,0.354,0.421,0.302,-5.3,1.9,11.8,-2
Saint Mary's,4,72.5,68.2,4.3,0.714,0.445,0.398,0.341,9.9,3.3,16.2,-2.89
San Diego,7,68.2,65.4,2.8,0.721,0.423,0.43,0.274,0.9,2.1,14.1,2.5
San Francisco,3,67.4,67.5,-0.1,0.761,0.411,0.396,0.347,-0.4,3.2,13.1,-1.32
Santa Clara,5,62.1,62.2,-0.1,0.723,0.39,0.381,0.312,3.2,3.8,15.1,-2.63
